"","Elevation (ft)","Live Storage (ac-ft)","Total Storage (ac-ft)","Area (acres)","EvapVolMax","EvapVolMaxUp","EvapVolMaxLo","EvapVolMin"
"510",1149.5,16676615.5473,18711615.5473,112076.574224,672459.445344,717290.0750336,616421.158232,662969.959999999
"511",1150,16732705.1879,18767705.1879,112323.061057,673938.366342,718867.5907648,617776.8358135,664543.755999999
"512",1150.5,16788954.3371,18823954.3371,112626.388706,675758.332236,720808.8877184,619445.137883,666132.328799998
"513",1151,16845331.8909,18880331.8909,112916.817767,677500.906602,722667.6337088,621042.4977185,667731.021200001
"514",1151.5,16901855.936,18936855.936,113194.370027,679166.220162,724443.9681728,622569.0351485,669335.355800001
"515",1152,16958547.835,18993547.835,113557.451682,681344.710092,726767.6907648,624565.984251,670990.175000001
"516",1152.5,17015394.7454,19050394.7454,113820.319356,682921.916136,728450.0438784,626011.756458,672658.579
"517",1153,17072358.4132,19107358.4132,114072.098205,684432.58923,730061.428512,627396.5401275,674308.203899998
"518",1153.5,17129472.7417,19164472.7417,114344.890469,686069.342814,731807.2990016,628896.8975795,675967.294100001
"519",1154,17186706.5317,19221706.5317,114616.375278,687698.251668,733544.8017792,630390.064029,677629.3002
"520",1154.5,17244078.8737,19279078.8737,114873.169855,689239.01913,735188.287072,631802.4342025,679282.957700001
"521",1155,17301581.6011,19336581.6011,115153.162317,690918.973902,736980.2388288,633342.3927435,680946.650000002
"522",1155.5,17359218.6715,19394218.6715,115387.190214,692323.141284,738478.0173696,634629.546177,682603.124200001
"523",1156,17416961.4004,19451961.4004,115624.363371,693746.180226,739995.9255744,635933.9985405,684256.212500002
"524",1156.5,17474858.0936,19509858.0936,115912.138903,695472.833418,741837.6889792,637516.7639665,685903.756500002
"525",1157,17532876.9881,19567876.9881,116204.792031,697228.752186,743710.6689984,639126.3561705,687545.097199999
"526",1157.5,17591045.0541,19626045.0541,116466.084698,698796.508188,745382.9420672,640563.465839,689189.118099999
"527",1158,17649368.799,19684368.799,116849.036052,701094.216312,747833.8307328,642669.698286,690820.963999998
"528",1158.5,17707859.7737,19742859.7737,117105.458411,702632.750466,749474.9338304,644080.0212605,692465.028299998
"529",1159,17766478.3155,19801478.3155,117410.218382,704461.310292,751425.3976448,645756.201101,694119.9023
"530",1159.5,17825242.8877,19860242.8877,117683.370183,706100.221098,753173.5691712,647258.5360065,695770.145999998
"531",1160,17884154.1295,19919154.1295,117993.74399,707962.46394,755159.961536,648965.591945,697447.597800002
"532",1160.5,17943222.9145,19978222.9145,118275.071603,709650.429618,756960.4582592,650512.8938165,699144.040800001
"533",1161,18002431.8458,20037431.8458,118592.58556,711555.51336,758992.547584,652259.22058,700850.2447
"534",1161.5,18061799.8462,20096799.8462,118870.494629,713222.967774,760771.1656256,653787.7204595,702581.174699999
"535",1162,18121306.9569,20156306.9569,119191.525198,715149.151188,762825.7612672,655553.388589,704345.556499999
"536",1162.5,18180962.6822,20215962.6822,119472.058569,716832.351414,764621.1748416,657096.3221295,706104.588599999
"537",1163,18240770.931,20275770.931,119795.113163,718770.678978,766688.7242432,658873.1223965,707893.942900002
"538",1163.5,18300740.1416,20335740.1416,120072.55273,720435.31638,768464.337472,660399.040015,709695.087500002
"539",1164,18360848.9944,20395848.9944,120422.264786,722533.588716,770702.4946304,662322.456323,711480.1954
"540",1164.5,18421137.7005,20456137.7005,120716.517697,724299.106182,772585.7132608,663940.8473335,713277.926800001
"541",1165,18481577.9451,20516577.9451,121098.954457,726593.726742,775033.3085248,666044.2495135,715099.6296
"542",1165.5,18542191.9568,20577191.9568,121398.15025,728388.9015,776948.1616,667689.826375,716949.0691
"543",1166,18602971.7199,20637971.7199,121792.767756,730756.606536,779473.7136384,669860.222658,718817.590399999
"544",1166.5,18663947.1058,20698947.1058,122102.448561,732614.691366,781455.6707904,671563.4670855,720724.191299997
"545",1167,18725078.3236,20760078.3236,122473.7162,734842.2972,783831.78368,673605.4391,722646.4778
"546",1167.5,18786395.0903,20821395.0903,122787.176801,736723.060806,785837.9315264,675329.4724055,724595.244100001
"547",1168,18847874.4872,20882874.4872,123167.886049,739007.316294,788274.4707136,677423.3732695,726567.530299999
"548",1168.5,18909540.4162,20944540.4162,123492.051663,740952.309978,790349.1306432,679206.2841465,728577.734000001
"549",1169,18971359.9056,21006359.9056,123829.422451,742976.534706,792508.3036864,681061.8234805,730588.974599998
"550",1169.5,19033395.6016,21068395.6016,124275.484063,745652.904378,795363.0980032,683515.1623465,732655.459999997
"551",1170,19095622.0299,21130622.0299,124673.046974,748038.281844,797907.5006336,685701.758357,734773.035500001
"552",1170.5,19158042.7236,21193042.7236,125002.385113,750014.310678,800015.2647232,687513.1181215,736905.0231
"553",1171,19220628.8099,21255628.8099,125393.593984,752361.563904,802519.0014976,689664.766912,739050.864800002
"554",1171.5,19283415.1797,21318415.1797,125752.768112,754516.608672,804817.7159168,691640.224616,741223.222899999
"555",1172,19346370.1734,21381370.1734,126109.248934,756655.493604,807099.1931776,693600.869137,743398.453499999
"556",1172.5,19409537.0881,21444537.0881,126506.685072,759040.110432,809642.7844608,695786.767896,745589.982300002
"557",1173,19472881.4427,21507881.4427,126903.452099,761420.712594,812182.0934336,697968.9865445,747803.119099997
"558",1173.5,19536423.464,21571423.464,127257.662078,763545.972468,814449.0372992,699917.141429,750028.3737
"559",1174,19600143.5015,21635143.5015,127655.083703,765930.502218,816992.5356992,702102.9603665,752269.0143
"560",1174.5,19664064.9881,21699064.9881,128031.325116,768187.950696,819400.4807424,704172.288138,754524.571899999
"561",1175,19728171.063,21763171.063,128425.96667,770555.80002,821926.186688,706342.816685,756811.157400001
"562",1175.5,19792458.7201,21827458.7201,128767.179817,772603.078902,824109.9508288,708219.4889935,759063.118500002
"563",1176,19856928.1532,21891928.1532,129147.38808,774884.32848,826543.283712,710310.63444,761306.123300001
"564",1176.5,19921586.7871,21956586.7871,129478.171116,776869.026696,828660.2951424,712129.941138,763544.063499998
"565",1177,19986408.4531,22021408.4531,129833.923376,779003.540256,830937.1096064,714086.578568,765779.643199999
"566",1177.5,20051404.1698,22086404.1698,130139.88281,780839.29686,832895.249984,715769.355455,767988.9901
"567",1178,20116552.0444,22151552.0444,130489.589272,782937.535632,835133.3713408,717692.740996,770181.870999999
"568",1178.5,20181862.0992,22216862.0992,130795.107789,784770.646734,837088.6898496,719373.0928395,772325.011099998
"569",1179,20247345.6039,22282345.6039,131158.298376,786949.790256,839413.1096064,721370.641068,774464.161200002
"570",1179.5,20313002.2443,22348002.2443,131459.753649,788758.521894,841342.4233536,723028.6450695,776578.780299999
"571",1180,20378809.302,22413809.302,131791.783888,790750.703328,843467.4168832,724854.811384,778665.800500002
"572",1180.5,20444779.6959,22479779.6959,132080.8726,792485.2356,845317.58464,726444.7993,780714.707800001
"573",1181,20510893.3361,22545893.3361,132402.352746,794414.116476,847375.0575744,728212.940103,782722.2731
"574",1181.5,20577156.063,22612156.063,132693.906419,796163.438514,849241.0010816,729816.4853045,784697.342900001
"575",1182,20643603.7066,22678603.7066,133085.740607,798514.443642,851748.7398848,731971.5733385,786675.553399999
"576",1182.5,20710222.404,22745222.404,133380.362744,800282.176464,853634.3215616,733591.995092,788635.616900001
"577",1183,20776987.0577,22811987.0577,133699.336977,802196.021862,855675.7566528,735346.3533735,790578.604600001
"578",1183.5,20843911.9856,22878911.9856,133992.449312,803954.695872,857551.6755968,736958.471216,792507.8158
"579",1184,20910985.0652,22945985.0652,134311.769934,805870.619604,859595.3275776,738714.734637,794433.020800002
"580",1184.5,20978218.5397,23013218.5397,134615.197194,807691.183164,861537.2620416,740383.584567,796356.440500002
"581",1185,21045591.4801,23080591.4801,134923.276198,809539.657188,863508.9676672,742078.019089,798245.876199998
"582",1185.5,21113142.5784,23148142.5784,135256.345842,811538.075052,865640.6133888,743909.902131,800140.334100001
"583",1186,21180851.0245,23215851.0245,135597.952292,813587.713752,867826.8946688,745788.737606,802041.7225
"584",1186.5,21248730.3371,23283730.3371,135912.317586,815473.905516,869838.8325504,747517.746723,803950.641199999
"585",1187,21316767.159,23351767.159,136249.372239,817496.233434,871995.9823296,749371.5473145,805873.822900001
"586",1187.5,21384972.4652,23419972.4652,136567.133179,819402.799074,874029.6523456,751119.2324845,807816.402199998
"587",1188,21453331.0868,23488331.0868,136896.572917,821379.437502,876138.0666688,752931.1510435,809727.380200002
"588",1188.5,21521871.1731,23556871.1731,137232.556363,823395.338178,878288.3607232,754779.0599965,811648.769099999
"589",1189,21590568.3706,23625568.3706,137569.812261,825418.873566,880446.7984704,756633.9674355,813581.312899999
"590",1189.5,21659432.8059,23694432.8059,137909.767361,827458.604166,882622.5111104,758503.7204855,815520.820300002
"591",1190,21728468.6181,23763468.6181,138245.642805,829473.85683,884772.113952,760351.0354275,817483.552899998
"592",1190.5,21797669.2683,23832669.2683,138549.039156,831294.234936,886713.8505984,762019.715358,819450.728599999
"593",1191,21867021.7597,23902021.7597,138873.096544,833238.579264,888787.8178816,763802.030992,821430.279600002
"594",1191.5,21936522.5242,23971522.5242,139178.999411,835073.996466,890745.5962304,765484.4967605,823379.945799999
"595",1192,22006193.9147,24041193.9147,139519.051764,837114.310584,892921.9312896,767354.784702,825342.8902
"596",1192.5,22076036.4412,24111036.4412,139842.360985,839054.16591,894991.110304,769132.9854175,827306.1041
"597",1193,22146040.2822,24181040.2822,140183.332913,841099.997478,897173.3306432,771008.3310215,829273.123199999
"598",1193.5,22216214.8865,24251214.8865,140506.724968,843040.349808,899243.0397952,772786.987324,831242.421300001
"599",1194,22286551.8997,24321551.8997,140854.930154,845129.580924,901471.5529856,774702.115847,833220.812899999
"600",1194.5,22357051.8761,24392051.8761,141193.471811,847160.830866,903638.2195904,776564.0949605,835180.703000002
"601",1195,22427735.8263,24462735.8263,141553.993662,849323.961972,905945.5594368,778546.965141,837167.455699999
"602",1195.5,22498597.8607,24533597.8607,141885.120832,851310.724992,908064.7733248,780368.164576,839165.0548
"603",1196,22569624.0804,24604624.0804,142223.74649,853342.47894,910231.977536,782230.605695,841155.462300003
"604",1196.5,22640816.464,24675816.464,142536.328299,855217.969794,912232.5011136,783949.8056445,843147.195700001
"605",1197,22712165.7598,24747165.7598,142870.39796,857222.38776,914370.546944,785787.18878,845144.000099998
"606",1197.5,22783668.3333,24818668.3333,143189.348285,859136.08971,916411.829024,787541.4155675,847145.809099998
"607",1198,22855346.3735,24890346.3735,143531.319162,861187.914972,918600.4426368,789422.255391,849152.458799999
"608",1198.5,22927195.6834,24962195.6834,143855.386414,863132.318484,920674.4730496,791204.625277,851159.242200002
"609",1199,22999205.0303,25034205.0303,144191.484273,865148.905638,922825.4993472,793053.1635015,853164.748099998
"610",1199.5,23071381.2962,25106381.2962,144503.710891,867022.265346,924823.7497024,794770.4099005,855166.409699999
"611",1200,23143713.5704,25178713.5704,144834.116038,869004.696228,926938.3426432,796587.638209,857161.670699999
"612",1200.5,23216210.3752,25251210.3752,145144.152294,870864.913764,928922.5746816,798292.837617,859158.4991
"613",1201,23288848.8968,25323848.8968,145458.023427,872748.140562,930931.3499328,800019.1288485,861113.070500001
"614",1201.5,23361678.5308,25396678.5308,145852.829714,875116.978284,933458.1101696,802190.563427,863080.6701
"615",1202,23434687.9553,25469687.9553,146196.888419,877181.330514,935660.0858816,804082.8863045,865063.874899998
"616",1202.5,23507875.0307,25542875.0307,146560.869309,879365.215854,937989.5635776,806084.7811995,867058.566699997
"617",1203,23581326.4346,25616326.4346,147143.769027,882862.614162,941720.1217728,809290.7296485,869160.674800001
"618",1203.5,23654986.1521,25689986.1521,147480.398454,884882.390724,943874.5501056,811142.191497,871317.818800002
"619",1204,23728794.5107,25763794.5107,147803.168649,886819.011894,945940.2793536,812917.4275695,873448.137199998
"620",1204.5,23802788.0943,25837788.0943,148147.671845,888886.03107,948145.099808,814812.1951475,875592.4109
"621",1205,23876949.5085,25911949.5085,148511.018502,891066.111012,950470.5184128,816810.601761,877744.4782
"622",1205.5,23951313.9736,25986313.9736,148937.655636,893625.933816,953200.9960704,819157.105998,879932.6774
"623",1206,24025868.873,26060868.873,149292.453401,895754.720406,955471.7017664,821108.4937055,882155.3026
"624",1206.5,24100601.7116,26135601.7116,149631.109825,897786.65895,957639.10288,822971.1040375,884391.336399999
"625",1207,24175487.3889,26210487.3889,149961.590097,899769.540582,959754.1766208,824788.7455335,886638.4921
"626",1207.5,24250561.0238,26285561.0238,150302.995061,901817.970366,961939.1683904,826666.4728355,888882.493000001
"627",1208,24325795.0973,26360795.0973,150642.933302,903857.599812,964114.7731328,828536.133161,891107.142000001
"628",1208.5,24401198.678,26436198.678,150961.188536,905767.131216,966151.6066304,830286.536948,893323.647300001
"629",1209,24476760.189,26511760.189,151297.726552,907786.359312,968305.4499328,832137.496036,895433.7544
"630",1209.5,24552489.7267,26587489.7267,151609.704197,909658.225182,970302.1068608,833853.3730835,897503.5746
"631",1210,24628375.1209,26663375.1209,151940.854659,911645.127954,972421.4698176,835674.7006245,899580.610200003
"632",1210.5,24704411.0353,26739411.0353,152254.15213,913524.91278,974426.573632,837397.836715,901622.941
"633",1211,24780617.3303,26815617.3303,152579.702668,915478.216008,976510.0970752,839188.364674,903667.821800001
"634",1211.5,24856985.7013,26891985.7013,152883.614673,917301.688038,978455.1339072,840859.8807015,905671.727699999
"635",1212,24933504.3131,26968504.3131,153196.46788,919178.80728,980457.394432,842580.57334,907635.440099999
"636",1212.5,25010178.227,27045178.227,153489.530561,920937.183366,982332.9955904,844192.4180855,909576.515400004
"637",1213,25086998.1238,27121998.1238,153793.125087,922758.750522,984276.0005568,845862.1879785,911510.734899998
"638",1213.5,25163954.0925,27198954.0925,154082.108879,924492.653274,986125.4968256,847451.5988345,913393.068700001
"639",1214,25241070.2899,27276070.2899,154385.310621,926311.863726,988065.9879744,849119.2084155,915275.192600001
"640",1214.5,25318337.0445,27353337.0445,154672.072025,928032.43215,989901.26096,850696.3961375,917138.366500001
"641",1215,25395747.1699,27430747.1699,154967.790239,929806.741434,991793.8575296,852322.8463145,918986.980900001
"642",1215.5,25473302.1825,27508302.1825,155241.257073,931447.542438,993544.0452672,853826.9139015,920812.455800001
"643",1216,25550991.9003,27585991.9003,155517.106307,933102.637842,995309.4803648,855344.0846885,922616.779399998
"644",1216.5,25628819.4636,27663819.4636,155782.472579,934694.835474,997007.8245056,856803.5991845,924408.428299997
"645",1217,25706763.5984,27741763.5984,156056.573085,936339.43851,998762.067744,858311.1519675,926146.268100001
"646",1217.5,25784860.2749,27819860.2749,156321.022238,937926.133428,1000454.5423232,859765.622309,927874.573600002
"647",1218,25863089.9534,27898089.9534,156597.729648,939586.377888,1002225.4697472,861287.513064,929585.640300002
"648",1218.5,25941458.0968,27976458.0968,156865.599843,941193.599058,1003939.8389952,862760.7991365,931279.869799998
"649",1219,26019960.1525,28054960.1525,157142.038163,942852.228978,1005709.0442432,864281.2098965,932962.028700002
"650",1219.5,26098601.1374,28133601.1374,157411.955916,944471.735496,1007436.5178624,865765.757538,934647.0449
"651",1220,26177361.3303,28212361.3303,157682.938543,946097.631258,1009170.8066752,867256.1619865,936291.040399998
"652",1220.5,26256279.7349,28291279.7349,157972.240937,947833.445622,1011022.3419968,868847.3251535,937942.690400001
"653",1221,26335338.4489,28370338.4489,158262.419409,949574.516454,1012879.4842176,870443.3067495,939591.278999999
"654",1221.5,26414542.6614,28449542.6614,158545.36328,951272.17968,1014690.324992,871999.49804,941240.4789
"655",1222,26493891.8762,28528891.8762,158853.27848,953119.67088,1016660.982272,873693.03164,942899.975900002
"656",1222.5,26573396.6897,28608396.6897,159156.668647,954940.011882,1018602.6793408,875361.6775585,944577.226100001
"657",1223,26653037.7258,28688037.7258,159461.084987,956766.509922,1020550.9439168,877035.9674285,946274.1274
"658",1223.5,26732851.6098,28767851.6098,159773.799954,958642.799724,1022552.3197056,878755.899747,947991.334899999
"659",1224,26812815.8418,28847815.8418,160079.090975,960474.54585,1024506.18224,880435.0003625,949725.8884
"660",1224.5,26892930.1094,28927930.1094,160367.378501,962204.271006,1026351.2224064,882020.5817555,951472.012600001
"661",1225,26973186.6508,29008186.6508,160654.956177,963929.737062,1028191.7195328,883602.2589735,953226.498300001
"662",1225.5,27053585.9796,29088585.9796,160931.243981,965587.463886,1029959.9614784,885121.8418955,954984.8422
"663",1226,27134123.5506,29169123.5506,161217.73053,967306.38318,1031793.475392,886697.517915,956762.2203
"664",1226.5,27214787.5045,29249787.5045,161493.20363,968959.22178,1033556.503232,888212.619965,958507.7696
"665",1227,27295605.9036,29330605.9036,161777.4101,970664.4606,1035375.42464,889775.75555,960267.454700001
"666",1227.5,27376565.7136,29411565.7136,162052.72404,972316.34424,1037137.433856,891289.98222,962023.052199997
"667",1228,27457664.4102,29492664.4102,162341.394039,974048.364234,1038984.9218496,892877.6672145,963772.533999998
"668",1228.5,27538908.6495,29573908.6495,162624.468344,975746.810064,1040796.5974016,894434.575892,965511.959800001
"669",1229,27620294.1238,29655294.1238,162915.787638,977494.725828,1042661.0408832,896036.832009,967256.397999998
"670",1229.5,27701810.3005,29736810.3005,163204.877389,979229.264334,1044511.2152896,897626.8256395,968958.690700002
"671",1230,27783488.2871,29818488.2871,163503.986947,981023.921682,1046425.5164608,899271.9282085,970672.445299998
"672",1250,30809525,32844525,175800,1054800,1125120,966900,907811.013870001
